ds,y,abertura,max,min,volume,variacao
2021-11-03,114.984,112.782,115.127,112.776,12.09,1.96
2021-10-03,112.776,111.331,112.928,109.999,12.51,1.3
2021-09-03,111.331,110.611,112.525,109.343,12.14,0.65
2021-08-03,110.612,115.202,115.202,110.268,13.7,-3.98
2021-05-03,115.202,112.69,115.504,112.504,13.25,2.23
2021-04-03,112.69,111.191,114.433,111.163,14.22,1.35
2021-03-03,111.184,111.529,112.398,107.466,15.14,-0.32
2021-02-03,111.54,110.328,112.428,107.319,14.82,1.09
2021-01-03,110.335,110.036,112.445,110.036,11.24,0.27
2021-02-26,110.035,112.26,113.466,109.827,14.62,-1.98
2021-02-25,112.256,115.668,116.506,111.764,12.47,-2.95
2021-02-24,115.668,115.229,116.208,114.668,11.4,0.38
2021-02-23,115.227,112.676,115.38,112.667,15.17,2.27
2021-02-22,112.668,118.388,118.388,111.65,21.77,-4.87
2021-02-19,118.431,119.199,119.25,117.867,10.4,-0.64
2021-02-18,119.199,120.361,120.845,118.515,10.72,-0.96
2021-02-17,120.356,119.421,120.597,118.88,8.33,0.78
2021-12-02,119.429,119.3,119.763,118.163,7.66,0.11
2021-11-02,119.3,118.44,120.283,118.44,7.57,0.73
2021-10-02,118.435,119.472,119.738,117.97,8.64,-0.87
2021-09-02,119.472,119.696,119.975,118.246,7.91,-0.19
2021-08-02,119.696,120.239,120.844,119.14,8.62,-0.45
2021-05-02,120.24,119.261,121.117,119.261,8.21,0.82
2021-04-02,119.261,119.728,120.56,118.918,8.1,-0.39
2021-03-02,119.725,118.235,120.21,118.234,8.7,1.26
2021-02-02,118.234,117.52,119.805,117.519,11.63,0.61
2021-01-02,117.518,115.093,117.862,115.093,8.72,2.13
2021-01-29,115.068,118.88,118.88,114.973,10.97,-3.21
2021-01-28,118.883,115.882,119.355,115.734,12.07,2.59
2021-01-27,115.882,116.463,117.84,114.887,12.38,-0.5
2021-01-26,116.464,117.381,119.167,116.109,10.68,-0.78
2021-01-22,117.38,118.318,118.318,116.109,9.37,-0.8
2021-01-21,118.329,119.628,120.243,117.785,8.57,-1.1
2021-01-20,119.646,120.645,121.449,118.74,7.95,-0.82
2021-01-19,120.636,121.25,122.12,119.257,7.89,-0.5
2021-01-18,121.242,120.351,122.586,120.351,7.22,0.74
2021-01-15,120.349,123.472,123.472,120.185,9.39,-2.54
2021-01-14,123.481,121.947,123.896,121.947,8.97,1.27
2021-01-13,121.933,123.996,124.032,121.016,10.29,-1.67
2021-12-01,123.998,123.255,124.584,123.227,8.95,0.6
2021-11-01,123.255,125.075,125.075,122.506,9.54,-1.46
2021-08-01,125.077,122.387,125.324,122.386,11.09,2.2
2021-07-01,122.386,119.103,122.697,119.101,11.77,2.76
2021-06-01,119.1,119.377,120.924,118.917,11.64,-0.23
2021-05-01,119.376,118.835,119.79,116.756,9.26,0.44
2021-04-01,118.855,119.024,120.354,118.062,8.74,-0.14
2020-12-30,119.017,119.41,120.15,118.919,8.24,-0.33
2020-12-29,119.409,119.13,119.861,118.75,6.77,0.24
2020-12-28,119.124,117.806,119.213,117.805,7.17,1.12
2020-12-23,117.807,116.636,118.311,116.636,6.48,1.0
2020-12-22,116.636,115.825,116.903,115.648,6.95,0.7
2020-12-21,115.823,118.021,118.021,114.73,10.35,-1.86
2020-12-18,118.024,118.395,119.37,117.638,8.64,-0.32
2020-12-17,118.401,117.864,119.027,117.856,7.7,0.46
2020-12-16,117.857,116.149,118.178,115.496,9.81,1.47
2020-12-15,116.149,114.613,116.39,114.613,8.2,1.34
2020-12-14,114.611,115.137,115.74,114.431,8.19,-0.45
2020-11-12,115.128,115.128,115.527,113.949,8.37,0.0
2020-10-12,115.129,113.002,115.262,112.732,11.8,1.88
2020-09-12,113.001,113.799,114.02,112.567,8.43,-0.7
2020-08-12,113.793,113.59,114.381,112.82,8.81,0.18
2020-07-12,113.59,113.751,114.531,112.629,9.63,-0.14
2020-04-12,113.75,112.294,113.864,112.294,8.89,1.3
2020-03-12,112.292,111.874,113.377,111.874,11.47,0.37
2020-02-12,111.879,111.402,112.315,110.579,9.81,0.43
2020-01-12,111.4,108.897,111.84,108.897,11.32,2.3
2020-11-30,108.893,110.598,110.934,108.829,19.3,-1.52
2020-11-27,110.575,110.229,111.603,110.161,8.79,0.32
2020-11-26,110.227,110.133,110.245,109.418,6.17,0.09
2020-11-25,110.133,109.786,110.596,109.315,8.56,0.32
2020-11-24,109.786,107.378,109.956,107.361,11.93,2.24
2020-11-23,107.379,106.05,107.495,106.05,9.69,1.26
2020-11-20,106.042,106.67,106.764,105.68,7.1,-0.59
2020-11-19,106.67,106.117,106.973,105.545,8.56,0.52
2020-11-18,106.119,107.246,107.467,106.043,10.34,-1.05
2020-11-17,107.249,106.43,107.81,105.847,10.31,0.77
2020-11-16,106.43,104.729,106.518,104.729,11.72,1.63
2020-11-13,104.723,102.509,104.726,102.509,9.77,2.16
2020-12-11,102.507,104.81,105.019,102.034,10.86,-2.2
2020-11-11,104.809,105.067,105.462,104.143,10.84,-0.25
2020-10-11,105.067,103.516,105.758,103.453,16.67,1.5
2020-09-11,103.515,100.954,105.147,100.954,17.41,2.57
2020-06-11,100.925,100.751,101.104,99.837,8.38,0.17
2020-05-11,100.751,97.873,100.922,97.872,10.46,2.95
2020-04-11,97.867,95.992,98.296,95.987,10.7,1.97
2020-03-11,95.98,93.968,96.35,93.968,10.19,2.16
2020-10-30,93.952,96.579,96.579,93.559,10.64,-2.72
2020-10-29,96.582,95.368,96.688,93.387,12.7,1.27
2020-10-28,95.369,99.598,99.598,95.369,11.05,-4.25
2020-10-27,99.606,101.017,101.66,99.414,8.67,-1.4
2020-10-26,101.017,101.26,101.784,99.762,8.07,-0.24
2020-10-23,101.26,101.918,102.218,101.188,7.56,-0.65
2020-10-22,101.918,100.553,102.02,100.457,9.56,1.36
2020-10-21,100.552,100.541,101.586,100.149,8.66,0.01
2020-10-20,100.54,98.664,100.722,98.664,8.8,1.91
2020-10-19,98.658,98.31,99.917,98.31,9.93,0.35
2020-10-16,98.309,99.054,99.172,98.309,7.84,-0.75
2020-10-15,99.054,99.328,99.486,97.778,8.34,-0.28
2020-10-14,99.334,98.502,99.571,98.501,8.9,0.84
2020-10-13,98.503,97.483,98.998,97.336,7.87,1.05
2020-09-10,97.483,97.924,98.642,97.161,10.81,-0.45
2020-08-10,97.92,95.53,97.938,95.53,11.16,2.51
2020-07-10,95.526,95.616,96.38,94.881,9.83,-0.09
2020-06-10,95.615,96.091,97.405,95.211,11.3,-0.49
2020-05-10,96.089,94.019,96.414,93.984,8.62,2.21
2020-02-10,94.016,95.475,95.996,93.897,8.58,-1.53
2020-01-10,95.479,94.604,95.486,93.599,9.24,0.93
2020-09-30,94.603,93.586,95.34,93.584,9.49,1.09
2020-09-29,93.58,94.665,95.505,93.408,8.74,-1.15
2020-09-28,94.666,97.005,98.314,94.371,10.51,-2.41
2020-09-25,96.999,97.011,97.012,95.632,7.35,-0.01
2020-09-24,97.012,95.735,97.955,95.653,9.33,1.33
2020-09-23,95.735,97.294,97.389,95.728,8.83,-1.6
2020-09-22,97.294,96.995,97.684,96.39,7.28,0.31
2020-09-21,96.991,98.283,98.283,95.82,9.74,-1.32
2020-09-18,98.29,100.098,100.102,98.045,11.37,-1.81
2020-09-17,100.098,99.674,100.251,98.562,7.86,0.42
2020-09-16,99.676,100.299,100.663,99.663,7.14,-0.62
2020-09-15,100.298,100.277,100.949,99.647,9.22,0.02
2020-09-14,100.275,98.367,100.52,98.367,8.18,1.94
2020-11-09,98.363,98.839,99.435,97.758,9.11,-0.48
2020-10-09,98.835,101.291,101.536,98.687,8.89,-2.43
2020-09-09,101.292,100.05,101.578,100.05,7.96,1.24
2020-08-09,100.05,101.239,101.239,99.373,8.48,-1.18
2020-04-09,101.242,100.733,101.582,98.961,11.33,0.52
2020-03-09,100.721,101.911,103.226,99.751,12.61,-1.17
2020-02-09,101.911,102.168,102.824,100.872,7.56,-0.25
2020-01-09,102.168,99.382,102.238,99.382,9.38,2.82
2020-08-31,99.369,102.142,102.142,99.369,12.23,-2.72
2020-08-28,102.143,100.631,102.347,100.631,7.67,1.51
2020-08-27,100.624,100.625,101.548,99.857,7.36,0.0
2020-08-26,100.627,102.119,102.521,99.359,9.86,-1.46
2020-08-25,102.118,102.293,102.708,101.623,8.19,-0.18
2020-08-24,102.298,101.525,102.515,101.525,7.72,0.77
2020-08-21,101.521,101.46,101.566,100.412,9.1,0.05
2020-08-20,101.468,100.853,101.749,99.131,9.4,0.61
2020-08-19,100.854,102.072,102.334,100.8,10.03,-1.19
2020-08-18,102.065,99.597,102.247,99.597,9.42,2.48
2020-08-17,99.595,101.348,101.689,98.513,10.82,-1.73
2020-08-14,101.353,100.469,101.717,100.445,8.58,0.89
2020-08-13,100.461,102.118,103.237,100.187,10.72,-1.62
2020-12-08,102.118,102.176,103.116,100.698,10.11,-0.06
2020-11-08,102.174,103.449,104.409,102.174,9.36,-1.23
2020-10-08,103.444,102.776,103.722,101.282,8.26,0.65
2020-07-08,102.776,104.116,104.126,101.957,10.34,-1.3
2020-06-08,104.126,102.795,104.523,102.795,9.69,1.29
2020-05-08,102.802,101.22,103.763,101.22,10.92,1.57
2020-04-08,101.216,102.826,103.012,100.005,12.03,-1.57
2020-03-08,102.83,102.913,103.863,102.304,10.9,-0.08
2020-07-31,102.912,105.01,105.462,102.642,12.93,-2.0
2020-07-30,105.009,105.605,105.607,103.92,9.59,-0.56
2020-07-29,105.605,104.112,105.704,104.112,9.24,1.44
2020-07-28,104.109,104.477,104.663,103.592,9.09,-0.35
2020-07-27,104.477,102.381,104.585,102.381,9.62,2.05
2020-07-24,102.382,102.292,102.694,100.859,9.8,0.09
2020-07-23,102.293,104.291,104.949,102.119,10.37,-1.91
2020-07-22,104.29,104.312,104.98,103.277,10.83,-0.02
2020-07-21,104.31,104.426,105.449,103.732,11.11,-0.11
2020-07-20,104.426,102.888,104.439,102.744,8.93,1.49
2020-07-17,102.888,100.554,103.017,100.554,10.43,2.32
2020-07-16,100.553,101.791,101.792,100.16,8.13,-1.22
2020-07-15,101.791,100.444,102.114,100.444,9.29,1.34
2020-07-14,100.44,98.699,100.632,98.289,10.02,1.77
2020-07-13,98.697,100.027,100.858,98.697,10.38,-1.33
2020-10-07,100.032,99.16,100.101,98.739,9.15,0.88
2020-09-07,99.16,99.77,100.191,98.861,9.47,-0.61
2020-08-07,99.77,97.765,99.973,97.765,9.14,2.05
2020-07-07,97.761,98.937,98.938,97.272,8.95,-1.19
2020-06-07,98.937,96.776,99.257,96.768,9.49,2.24
2020-03-07,96.765,96.237,96.765,95.803,5.35,0.55
2020-02-07,96.235,96.206,97.864,96.052,10.06,0.03
2020-01-07,96.203,95.062,96.852,95.062,10.16,1.21
2020-06-30,95.056,95.728,96.257,94.806,10.14,-0.71
2020-06-29,95.735,93.837,95.735,93.825,8.91,2.03
2020-06-26,93.834,95.979,95.979,93.514,8.44,-2.24
2020-06-25,95.983,94.382,96.26,94.152,8.7,1.7
2020-06-24,94.377,95.974,95.974,93.259,9.96,-1.66
2020-06-23,95.975,95.344,97.486,95.344,9.75,0.67
2020-06-22,95.336,96.572,96.87,94.869,8.26,-1.28
2020-06-19,96.572,96.138,97.54,95.874,13.13,0.46
2020-06-18,96.125,95.547,97.11,94.698,10.01,0.6
2020-06-17,95.547,93.531,96.611,93.531,11.13,2.16
2020-06-16,93.531,92.387,95.216,92.387,12.03,1.25
2020-06-15,92.376,92.78,93.112,90.148,13.32,-0.45
2020-12-06,92.795,94.677,94.703,90.811,12.79,-2.0
2020-10-06,94.686,96.747,97.646,94.665,11.74,-2.13
2020-09-06,96.747,97.644,97.644,95.386,11.29,-0.92
2020-08-06,97.645,94.64,97.693,94.635,11.1,3.18
2020-05-06,94.637,93.839,97.356,93.839,13.32,0.86
2020-04-06,93.829,92.993,94.132,92.221,11.49,0.89
2020-03-06,93.002,91.048,93.71,91.048,15.14,2.15
2020-02-06,91.046,88.622,91.046,88.622,11.83,2.74
2020-01-06,88.62,87.395,89.019,86.837,9.85,1.39
2020-05-29,87.403,86.951,87.41,85.384,16.55,0.52
2020-05-28,86.949,87.946,88.091,86.767,10.12,-1.13
2020-05-27,87.946,85.468,87.946,85.468,11.21,2.9
2020-05-26,85.469,85.668,87.333,85.396,12.03,-0.23
2020-05-25,85.663,82.198,85.876,82.193,8.76,4.25
2020-05-22,82.173,83.027,83.027,81.669,9.28,-1.03
